Year,Month,Day,Hour,Value
2018,01,28,5,39.66
2018,01,28,6,39.66
2018,01,28,7,39.81
2018,01,28,8,39.98
2018,01,28,9,40
2018,01,28,10,41.6
2018,01,28,11,50
2018,01,28,12,51.65
2018,01,28,13,51.58
2018,01,28,14,52.88
2018,01,28,15,50.66
2018,01,28,16,43.42
2018,01,28,17,41.6
2018,01,28,18,44.01
2018,01,28,19,53.95
2018,01,28,20,59.58
2018,01,28,21,60.98
2018,01,28,22,61.99
2018,01,28,23,60.98
2018,01,28,24,58.19
2018,01,29,1,56.37
2018,01,29,2,46.18
2018,01,29,3,45.13
2018,01,29,4,45.09
2018,01,29,5,46
2018,01,29,6,47.95
2018,01,29,7,57.79
2018,01,29,8,59.42
2018,01,29,9,58.99
2018,01,29,10,58.99
2018,01,29,11,59.01
2018,01,29,12,58.19
2018,01,29,13,56.37
2018,01,29,14,55.39
2018,01,29,15,54.23
2018,01,29,16,54.14
2018,01,29,17,54.04
2018,01,29,18,54.14
2018,01,29,19,58.19
2018,01,29,20,59.58
2018,01,29,21,59.8
2018,01,29,22,59.25
2018,01,29,23,54.63
2018,01,29,24,54.04
2018,01,30,1,48.01
2018,01,30,2,44.1
2018,01,30,3,41.2
2018,01,30,4,41.06
2018,01,30,5,41.2
2018,01,30,6,43.6
2018,01,30,7,48.01
2018,01,30,8,55.39
2018,01,30,9,57
2018,01,30,10,58.58
2018,01,30,11,58.87
2018,01,30,12,58.75
2018,01,30,13,58.58
2018,01,30,14,58.39
2018,01,30,15,58.19
2018,01,30,16,57.79
2018,01,30,17,56.37
2018,01,30,18,58.19
2018,01,30,19,58.99
2018,01,30,20,60.07
2018,01,30,21,60.19
2018,01,30,22,59.69
2018,01,30,23,58.01
2018,01,30,24,55.31
2018,01,31,1,58.78
2018,01,31,2,55.39
2018,01,31,3,51.13
2018,01,31,4,48.46
2018,01,31,5,48.46
2018,01,31,6,50.82
2018,01,31,7,55.39
2018,01,31,8,58.01
2018,01,31,9,58.99
2018,01,31,10,59.26
2018,01,31,11,59.25
2018,01,31,12,58.67
2018,01,31,13,58.39
2018,01,31,14,59
2018,01,31,15,58.39
2018,01,31,16,58.19
2018,01,31,17,57.98
2018,01,31,18,57.07
2018,01,31,19,58.99
2018,01,31,20,60.13
