date,hour,class,type,regime,Price_LOW,Price_MED,Price_HIGH,p_mean_pred_eur_mwh,k_anchor,mu_anchor,TomorrowMean_EUR_MWh,LowQuantileUsed,ValleyHours,ValleyMultBase
2025-12-28,3,DOM_INV,DOM,LOW,42.384141231715454,52.98017653964431,63.57621184757317,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,4,DOM_INV,DOM,LOW,49.70972110984251,62.137151387303135,74.56458166476376,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,5,DOM_INV,DOM,LOW,49.483747844161094,61.854684805201366,74.22562176624163,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,6,DOM_INV,DOM,LOW,50.25909053547812,62.82386316934765,75.38863580321718,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,7,DOM_INV,DOM,LOW,52.35549680618106,65.44437100772632,78.53324520927158,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,8,DOM_INV,DOM,LOW,54.70491314214371,68.38114142767964,82.05736971321556,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,9,DOM_INV,DOM,LOW,56.39460122812028,70.49325153515035,84.59190184218042,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,10,DOM_INV,DOM,LOW,56.183911162155006,70.22988895269376,84.2758667432325,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,11,DOM_INV,DOM,LOW,54.761157609760886,68.4514470122011,82.14173641464131,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,12,DOM_INV,DOM,LOW,53.5568665115462,66.94608313943274,80.33529976731928,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,13,DOM_INV,DOM,LOW,53.920354861644604,67.40044357705575,80.8805322924669,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,14,DOM_INV,DOM,LOW,52.88433021932132,66.10541277415165,79.32649532898198,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,15,DOM_INV,DOM,LOW,51.07024067105692,63.83780083882115,76.60536100658538,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-28,16,DOM_INV,DOM,LOW,54.36264211745248,67.9533026468156,81.54396317617872,72.13432219289926,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
