date,hour,class,type,regime,p_mean_pred_eur_mwh,Price_EUR_MWh,k_anchor,mu_anchor,TomorrowMean_EUR_MWh,LowQuantileUsed,ValleyHours,ValleyMultBase,Source
2025-12-25,17,DOM_INV,DOM,LOW,84.68434864496747,92.48208672096648,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,18,DOM_INV,DOM,LOW,84.68434864496747,104.21871371445116,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,19,DOM_INV,DOM,LOW,84.68434864496747,112.53668429395299,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,20,DOM_INV,DOM,LOW,84.68434864496747,118.37628507167227,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,21,DOM_INV,DOM,LOW,84.68434864496747,115.99442821201058,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,22,DOM_INV,DOM,LOW,84.68434864496747,106.79142389855687,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,23,DOM_INV,DOM,LOW,84.68434864496747,98.69497544270298,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,0,LAB_INV,LAB,NORMAL,111.7673246483724,75.34810148550699,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,1,LAB_INV,LAB,NORMAL,111.7673246483724,68.24786794137468,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,2,LAB_INV,LAB,NORMAL,111.7673246483724,63.07039756230764,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,3,LAB_INV,LAB,NORMAL,111.7673246483724,60.03036806500985,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,4,LAB_INV,LAB,NORMAL,111.7673246483724,82.4275090493775,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,5,LAB_INV,LAB,NORMAL,111.7673246483724,87.8060903723668,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,6,LAB_INV,LAB,NORMAL,111.7673246483724,102.28824575296234,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,7,LAB_INV,LAB,NORMAL,111.7673246483724,122.94678277768847,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,8,LAB_INV,LAB,NORMAL,111.7673246483724,134.331462128067,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,9,LAB_INV,LAB,NORMAL,111.7673246483724,133.80729131162065,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,10,LAB_INV,LAB,NORMAL,111.7673246483724,125.65201794678993,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-26,11,LAB_INV,LAB,NORMAL,111.7673246483724,118.28909436480666,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
